Raw Data Name,ProjectTidyDataset.txt Column Name,Conversion
from subject_train & subject_test files,subject,none (subject IDs numbered from 1-30)
from y_train and y_test files,activity,"converted from code (1-6) to char value (SITTING, WALKING, etc.) using values in activity_labels.txt file"
tBodyAcc-mean()-X,TimeBodyAcc.mean.X,"mean of all these normalized values summarized for 1 subject, 1 activity"
tBodyAcc-mean()-Y,TimeBodyAcc.mean.Y,same as above
tBodyAcc-mean()-Z,TimeBodyAcc.mean.Z,same as above
tBodyAcc-std()-X,TimeBodyAcc.std.X,same as above
tBodyAcc-std()-Y,TimeBodyAcc.std.Y,same as above
tBodyAcc-std()-Z,TimeBodyAcc.std.Z,same as above
tGravityAcc-mean()-X,TimeGravityAcc.mean.X,same as above
tGravityAcc-mean()-Y,TimeGravityAcc.mean.Y,same as above
tGravityAcc-mean()-Z,TimeGravityAcc.mean.Z,same as above
tGravityAcc-std()-X,TimeGravityAcc.std.X,same as above
tGravityAcc-std()-Y,TimeGravityAcc.std.Y,same as above
tGravityAcc-std()-Z,TimeGravityAcc.std.Z,same as above
tBodyAccJerk-mean()-X,TimeBodyAccJerk.mean.X,same as above
tBodyAccJerk-mean()-Y,TimeBodyAccJerk.mean.Y,same as above
tBodyAccJerk-mean()-Z,TimeBodyAccJerk.mean.Z,same as above
tBodyAccJerk-std()-X,TimeBodyAccJerk.std.X,same as above
tBodyAccJerk-std()-Y,TimeBodyAccJerk.std.Y,same as above
tBodyAccJerk-std()-Z,TimeBodyAccJerk.std.Z,same as above
tBodyGyro-mean()-X,TimeBodyGyro.mean.X,same as above
tBodyGyro-mean()-Y,TimeBodyGyro.mean.Y,same as above
tBodyGyro-mean()-Z,TimeBodyGyro.mean.Z,same as above
tBodyGyro-std()-X,TimeBodyGyro.std.X,same as above
tBodyGyro-std()-Y,TimeBodyGyro.std.Y,same as above
tBodyGyro-std()-Z,TimeBodyGyro.std.Z,same as above
tBodyGyroJerk-mean()-X,TimeBodyGyroJerk.mean.X,same as above
tBodyGyroJerk-mean()-Y,TimeBodyGyroJerk.mean.Y,same as above
tBodyGyroJerk-mean()-Z,TimeBodyGyroJerk.mean.Z,same as above
tBodyGyroJerk-std()-X,TimeBodyGyroJerk.std.X,same as above
tBodyGyroJerk-std()-Y,TimeBodyGyroJerk.std.Y,same as above
tBodyGyroJerk-std()-Z,TimeBodyGyroJerk.std.Z,same as above
tBodyAccMag-mean(),TimeBodyAccMag.mean,same as above
tBodyAccMag-std(),TimeBodyAccMag.std,same as above
tGravityAccMag-mean(),TimeGravityAccMag.mean,same as above
tGravityAccMag-std(),TimeGravityAccMag.std,same as above
tBodyAccJerkMag-mean(),TimeBodyAccJerkMag.mean,same as above
tBodyAccJerkMag-std(),TimeBodyAccJerkMag.std,same as above
tBodyGyroMag-mean(),TimeBodyGyroMag.mean,same as above
tBodyGyroMag-std(),TimeBodyGyroMag.std,same as above
tBodyGyroJerkMag-mean(),TimeBodyGyroJerkMag.mean,same as above
tBodyGyroJerkMag-std(),TimeBodyGyroJerkMag.std,same as above
fBodyAcc-mean()-X,FrequencyBodyAcc.mean.X,same as above
fBodyAcc-mean()-Y,FrequencyBodyAcc.mean.Y,same as above
fBodyAcc-mean()-Z,FrequencyBodyAcc.mean.Z,same as above
fBodyAcc-std()-X,FrequencyBodyAcc.std.X,same as above
fBodyAcc-std()-Y,FrequencyBodyAcc.std.Y,same as above
fBodyAcc-std()-Z,FrequencyBodyAcc.std.Z,same as above
fBodyAcc-meanFreq()-X,FrequencyBodyAcc.meanFreq.X,same as above
fBodyAcc-meanFreq()-Y,FrequencyBodyAcc.meanFreq.Y,same as above
fBodyAcc-meanFreq()-Z,FrequencyBodyAcc.meanFreq.Z,same as above
fBodyAccJerk-mean()-X,FrequencyBodyAccJerk.mean.X,same as above
fBodyAccJerk-mean()-Y,FrequencyBodyAccJerk.mean.Y,same as above
fBodyAccJerk-mean()-Z,FrequencyBodyAccJerk.mean.Z,same as above
fBodyAccJerk-std()-X,FrequencyBodyAccJerk.std.X,same as above
fBodyAccJerk-std()-Y,FrequencyBodyAccJerk.std.Y,same as above
fBodyAccJerk-std()-Z,FrequencyBodyAccJerk.std.Z,same as above
fBodyAccJerk-meanFreq()-X,FrequencyBodyAccJerk.meanFreq.X,same as above
fBodyAccJerk-meanFreq()-Y,FrequencyBodyAccJerk.meanFreq.Y,same as above
fBodyAccJerk-meanFreq()-Z,FrequencyBodyAccJerk.meanFreq.Z,same as above
fBodyGyro-mean()-X,FrequencyBodyGyro.mean.X,same as above
fBodyGyro-mean()-Y,FrequencyBodyGyro.mean.Y,same as above
fBodyGyro-mean()-Z,FrequencyBodyGyro.mean.Z,same as above
fBodyGyro-std()-X,FrequencyBodyGyro.std.X,same as above
fBodyGyro-std()-Y,FrequencyBodyGyro.std.Y,same as above
